idk2;nazev;zkratka;mena;mnozstvi;cenakc
41 939;KRYT 4022 197 52092                                               ;KRYT 4022 197 52092                                               ;CZK;1;1160,93
42 296;SROUB M3X6 ISO 14583-A4 (BN 20038)                                ;SROUB M3X6 ISO 14583-A4 (BN 20038)                                ;CZK;2;0,77
41 992;PODLOZKA 3,2 DIN 125-A4 (BN 671), ISO 7089                        ;PODLOZKA 3,2 DIN 125-A4 (BN 671), ISO 7089                        ;CZK;2;0,0915
41 955;O-KROUZEK 2.62x67.95 VITON, FEI                                   ;O-KROUZEK 2.62x67.95 VITON, FEI                                   ;CZK;1;24,2
43 528;SROUB M3X20 DIN 916-A4 (BN 4721) stavìcí                          ;SROUB M3X20 DIN 916-A4 (BN 4721) stavìcí                          ;CZK;4;4,23
41 940;DISTANCNI SLOUPEK M4x8 MM 5.14.083 (poniklovaný)                  ;DISTANCNI SLOUPEK M4x8 MM 5.14.083 (poniklovaný)                  ;CZK;4;2,75
14 527;GUMOVA PRUCHODKA 3,5X1                                            ;GUMOVA PRUCHODKA 3,5X1                                            ;CZK;1;3,0528
42 004;  DPS FEI 4022 192 83621 (PANEL 1x2 ks) RoHS HAL                 ;  DPS FEI 4022 192 83621 (PANEL 1x2 ks) RoHS HAL                 ;CZK;1;402,51
40 306;  CS 10M/16V 20% (SMD 4 x 5,3mm) +105°C RoHS                     ;  CS 10M/16V 20% (SMD 4 x 5,3mm) +105°C RoHS                     ;CZK;6;2,9425
24 886;  TK SMD 0805 220P/50V 5% C0G/NPO (V PASU) RoHS                  ;  TK SMD 0805 220P/50V 5% C0G/NPO (V PASU) RoHS                  ;CZK;1;0,055
15 213;  TK SMD 0805 100N/50V 10% X7R (V PASU) RoHS                     ;  TK SMD 0805 100N/50V 10% X7R (V PASU) RoHS                     ;CZK;3;0,0495
19 173;  TK SMD 0805 12P/50V 5% C0G/NPO (V PASU)                        ;  TK SMD 0805 12P/50V 5% C0G/NPO (V PASU)                        ;CZK;1;0,1233
23 109;  TK SMD 0805 4P7/50V ±0.25pF C0G/NPO (V PASU) RoHS              ;  TK SMD 0805 4P7/50V ±0.25pF C0G/NPO (V PASU) RoHS              ;CZK;2;0,0715
15 213;  TK SMD 0805 100N/50V 10% X7R (V PASU) RoHS                     ;  TK SMD 0805 100N/50V 10% X7R (V PASU) RoHS                     ;CZK;21;0,0495
19 170;  TK SMD 0805 2P2/50V ±0.25pF C0G/NPO (V PASU)                   ;  TK SMD 0805 2P2/50V ±0.25pF C0G/NPO (V PASU)                   ;CZK;1;0,1233
24 734;  TK SMD 0805 10P/50V 5% NPO (V PASU) RoHS                       ;  TK SMD 0805 10P/50V 5% NPO (V PASU) RoHS                       ;CZK;1;0,0715
20 070;  TK SMD 0805 47N/50V X7R 10% (V PASU) RoHS                      ;  TK SMD 0805 47N/50V X7R 10% (V PASU) RoHS                      ;CZK;1;0,06325
19 516;  TK SMD 1206 1M/16V 10% X7R (V PASU) RoHS                       ;  TK SMD 1206 1M/16V 10% X7R (V PASU) RoHS                       ;CZK;5;0,23375
20 070;  TK SMD 0805 47N/50V X7R 10% (V PASU) RoHS                      ;  TK SMD 0805 47N/50V X7R 10% (V PASU) RoHS                      ;CZK;2;0,06325
26 778;  ODPOR SMD 0603 10K/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 10K/F 0,1W (V PASU) RoHS                        ;CZK;5;0,0123
26 410;  ODPOR SMD 0603 150R/F 0,1W (V PASU) RoHS                       ;  ODPOR SMD 0603 150R/F 0,1W (V PASU) RoHS                       ;CZK;1;0,0123
19 990;  ODPOR SMD 0603 47R/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 47R/F 0,1W (V PASU) RoHS                        ;CZK;3;0,0123
26 519;  ODPOR SMD 0603 2K7/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 2K7/F 0,1W (V PASU) RoHS                        ;CZK;2;0,0165
29 263;  ODPOR SMD 0603 180R/F 0,1W (V PASU) RoHS                       ;  ODPOR SMD 0603 180R/F 0,1W (V PASU) RoHS                       ;CZK;3;0,0123
31 118;  ODPOR SMD 0603 220R/F 0,1W (V PASU) RoHS                       ;  ODPOR SMD 0603 220R/F 0,1W (V PASU) RoHS                       ;CZK;1;0,0123
19 994;  ODPOR SMD 0603 1K8/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 1K8/F 0,1W (V PASU) RoHS                        ;CZK;1;0,0165
21 517;  ODPOR SMD 0603 33R/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 33R/F 0,1W (V PASU) RoHS                        ;CZK;1;0,0123
27 071;  ODPOR SMD 0603 39R/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 39R/F 0,1W (V PASU) RoHS                        ;CZK;1;0,0123
28 254;  ODPOR SMD 0603 390R/F 0,1W (V PASU) RoHS                       ;  ODPOR SMD 0603 390R/F 0,1W (V PASU) RoHS                       ;CZK;1;0,02
19 993;  ODPOR SMD 0603 100K/F 0,1W (V PASU) RoHS                       ;  ODPOR SMD 0603 100K/F 0,1W (V PASU) RoHS                       ;CZK;2;0,0123
19 990;  ODPOR SMD 0603 47R/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 47R/F 0,1W (V PASU) RoHS                        ;CZK;1;0,0123
35 513;  ODPOR SMD 0603 100R/F 0,1W (V PASU) RoHS                       ;  ODPOR SMD 0603 100R/F 0,1W (V PASU) RoHS                       ;CZK;1;0,0123
19 991;  ODPOR SMD 0603 15K/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 15K/F 0,1W (V PASU) RoHS                        ;CZK;1;0,0123
26 778;  ODPOR SMD 0603 10K/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 10K/F 0,1W (V PASU) RoHS                        ;CZK;5;0,0123
28 253;  ODPOR SMD 0603 68K/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 68K/F 0,1W (V PASU) RoHS                        ;CZK;2;0,0123
35 516;  ODPOR SMD 0603 10R/F 0,1W (V PASU)  RoHS                       ;  ODPOR SMD 0603 10R/F 0,1W (V PASU)  RoHS                       ;CZK;6;0,0123
20 000;  ODPOR SMD 0603 27K/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 27K/F 0,1W (V PASU) RoHS                        ;CZK;2;0,0123
38 037;  ODPOR SMD 0603 10M/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 10M/F 0,1W (V PASU) RoHS                        ;CZK;2;0,01435
26 409;  ODPOR SMD 0603 1K/F 0,1W (V PASU) RoHS                         ;  ODPOR SMD 0603 1K/F 0,1W (V PASU) RoHS                         ;CZK;2;0,0123
18 031;  ODPOR SMD 0603 1M/F 0,1W (V PASU) RoHS                         ;  ODPOR SMD 0603 1M/F 0,1W (V PASU) RoHS                         ;CZK;3;0,0123
26 411;  ODPOR SMD 0603 47K/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 47K/F 0,1W (V PASU) RoHS                        ;CZK;4;0,011
28 573;  ODPOR SMD 0603 33K/F 0,1W (V PASU) RoHS                        ;  ODPOR SMD 0603 33K/F 0,1W (V PASU) RoHS                        ;CZK;1;0,0123
