Èíslo K2;Název;Zkratka;Mìna;Cena;Množství
55272;DPS FEI 1054133 (GOLD, PANEL 1x1 Pcs) Isola IS400;DPS FEI 1054133 (GOLD, PANEL 1x1 Pcs) Isola IS400;CZK;869;1
15213;TK SMD 0805 100N/50V 10% X7R (V PASU) RoHS;TK SMD 0805 100N/50V 10% X7R (V PASU) RoHS;CZK;0,04;12
47025;TK SMD 1206 1M/50V 5% X7R (V PASU) RoHS;TK SMD 1206 1M/50V 5% X7R (V PASU) RoHS;CZK;5,7;4
15212;TK SMD 0805 10N/50V 10% X7R (V PASU) RoHS;TK SMD 0805 10N/50V 10% X7R (V PASU) RoHS;CZK;0,04;2
16041;TK SMD 0805 1N/50V 5% C0G/NPO (V PASU) RoHS;TK SMD 0805 1N/50V 5% C0G/NPO (V PASU) RoHS;CZK;0,07;12
21708;TK SMD 1210 4M7/50V 10% X7R (V PASU) RoHS;TK SMD 1210 4M7/50V 10% X7R (V PASU) RoHS;EUR;0,05;1
52273;TK SMD 1206 1N/200V 5% C0G/NPO (V PASU) RoHS;TK SMD 1206 1N/200V 5% C0G/NPO (V PASU) RoHS;CZK;1,2;3
52283;TK SMD 1206 470P/1000V 5% C0G/NPO (V PASU) RoHS;TK SMD 1206 470P/1000V 5% C0G/NPO (V PASU) RoHS;CZK;3,73;2
19352;TK SMD 0805 22N/50V 10%  X7R (V PASU) RoHS;TK SMD 0805 22N/50V 10%  X7R (V PASU) RoHS;EUR;0;1
29787;TK SMD 1210 10M/25V 10% X7R (V PASU) RoHS;TK SMD 1210 10M/25V 10% X7R (V PASU) RoHS;EUR;0,04;2
39188;FERIT MURATA BLM31PG601SN1L (SMD 1206, 600ohm/1500mA) RoHS;FERIT MURATA BLM31PG601SN1L (SMD 1206, 600ohm/1500mA) RoHS;USD;0,18;1
47058;UC3872DW (SMD SOIC16) RoHS;UC3872DW (SMD SOIC16) RoHS;USD;4,31;1
47538;ADP3634ARDZ (SMD SOIC8) RoHS;ADP3634ARDZ (SMD SOIC8) RoHS;CZK;29,26;1
