K2cislo;Zkratka;Nazev;Cena;ks
36846;FM25CL64-G;FM25CL64-G (SMD SOIC8) RoHS;135;1
36852;IRF7210PBF;IRF7210 (SMD SO-8) RoHS;13;2
36853;IRF7240PBF;IRF7240 (SMD SO-8) RoHS;23;1
36854;IRLML2502TRPBF;IRLML2502  (SMD SOT23) RoHS;1,7;2
36855;IRLML6401TRPBF;IRLML6401  (SMD SOT23) RoHS;1,7;1
36856;LGM67K-G1J2-24-Z;LQ SMD 0805 GREEN LG M67K-G1J2-24-Z (1,8V/2mA) RoHS;3;1
36858;MCP6072-E/SN;MCP6072-E/SN (SMD SOIC8) RoHS;20;1
36859;NCP3334DADJG;NCP3334DADJG (SMD SOIC-8) RoHS, problém !!!;1,56;1
36861;SMCJ28CA;SMCJ28CA (SMD SMC, DO-214AB) RoHS;2,8;12
36862;SN65HVD230QD;SN65HVD230QD (SMD SO8) RoHS;50;3
36867;TK SMD 0603 470N/50V;TK SMD 0603 470N/50V 20%  Y5V (V PASU) RoHS;0,3;1
36879;QUARTZ 32,768 KHZ (2X6) 20PPM;QUARTZ 32,768 KHZ (MMFT32, 2 x 6 mm, 20ppm) RoHS;5,7;1
36881;CS 470M/50V (10X21)  +105°C;CS 470M/50V 20% (10 x 21mm) RM5, +105°C RoHS;5,5;1
36884;STM32F105VCT6;STM32F105VCT6 (SMD LQFP100) RoHS;200;1
36885;LQH3N1R5NG0L;TLUMIVKA MURATA LQH3N1R5M04 (SMD 1210, 1,5uH/400mA) RoHS;10,9;2
36898;CS 3300M/16V 12,5X25 +105°C;CS 3300M/16V (12,5 x 25mm) RM5, +105°C RoHS;6;1
36899;CS 680M/35V +105°, LOW ESR;CS 680M/35V (12,5 x 20mm) RM5, +105°C RoHS;6;2
36909;BCR158E6327;BCR158 (SMD SOT23-3)  RoHS;0,5;1
36910;TK SMD 0603 82P NPO;TK SMD 0603 82P/50V 10% C0G/NPO (V PASU) RoHS;0,3;1
36920;ODPOR SMD 0603 82R/F;ODPOR SMD 0603 82R/F 0,1W (V PASU) RoHS;0,04;1
36939;TUSB2046BVF;TUSB2046BVF (SMD 32-LQFP) RoHS - 4 port USB HUB;50;2
36983;TE SMD 47M/6,3V 20% (A 3216);TE SMD 47M/6,3V 20% (A 3216) RoHS;3;1
36986;OPA548T;OPA548T (TO 220-7) RoHS;200;2
36988;TLV320AIC3104IRHBT;TLV320AIC3104IRHBT (SMD QFN-32) RoHS, I2S audio kodek;180;1
37047;CS 47M/35V SMD +105°;CS 47M/35V (SMD 6,3 x 7,7mm) +105°C RoHS;10;1
37050;MSP430F2012IPW;MSP430F2012IPW (SMD TSSOP14) RoHS;18;1
37052;RCLAMP2502L;RCLAMP2502L (SMD SO8) RoHS;19;2
37060;TK SMD 0603 560P/50V C0G/NPO;TK SMD 0603 560P/50V 10% C0G/NPO (V PASU) RoHS;1;1
37080;TK SMD 0603 15N/50V X7R;TK SMD 0603 15N/50V 10%  X7R (V PASU) RoHS;0,09;2
37082;TE SMD 2M2/16V A;TE SMD 2M2/16V 20%  (A 3216) RoHS;1,02;3
