idp;idm;zkratka;nazev;pocet;cena_kc;cena_cm;mena;id_k2
1;82;15P/NP0/50V C0603 C101;15P/NP0/50V C0603 C101;1;0,025;0,025;CZK;31483
1;83;15P/NP0/50V C0603 C102;15P/NP0/50V C0603 C102;1;0,030;0,030;CZK;31483
1;84;1M/X5R/16V C0603 C103;1M/X5R/16V C0603 C103;1;0,090;0,090;CZK;38096
1;85;10N/X7R/50V C0603 C104;10N/X7R/50V C0603 C104;1;0,120;0,120;CZK;32742
1;86;M1/X7R/25V C0603 C105;M1/X7R/25V C0603 C105;1;0,030;0,030;CZK;23145
1;87;4M7/X5R/16V C0603 C106;4M7/X5R/16V C0603 C106;1;0,530;0,530;CZK;47519
1;88;M1/X7R/25V C0603 C107;M1/X7R/25V C0603 C107;1;0,030;0,030;CZK;23145
1;89;M1/X7R/25V C0603 C108;M1/X7R/25V C0603 C108;1;0,030;0,030;CZK;23145
1;90;M1/X7R/25V C0603 C109;M1/X7R/25V C0603 C109;1;0,030;0,030;CZK;23145
1;91;M1/X7R/25V C0603 C110;M1/X7R/25V C0603 C110;1;0,030;0,030;CZK;23145
1;92;M1/X7R/25V C0603 C201;M1/X7R/25V C0603 C201;1;0,030;0,030;CZK;23145
1;93;M1/X7R/25V C0603 C202;M1/X7R/25V C0603 C202;1;0,030;0,030;CZK;23145
1;94;M1/X7R/25V C0603 C203;M1/X7R/25V C0603 C203;1;0,030;0,030;CZK;23145
1;95;M1/X7R/25V C0603 C204;M1/X7R/25V C0603 C204;1;0,030;0,030;CZK;23145
1;96;M1/X7R/25V C0603 C205;M1/X7R/25V C0603 C205;1;0,030;0,030;CZK;23145
1;97;M1/X7R/25V C0603 C206;M1/X7R/25V C0603 C206;1;0,030;0,030;CZK;23145
1;98;M1/X7R/25V C0603 C207;M1/X7R/25V C0603 C207;1;0,030;0,030;CZK;23145
1;99;M1/X7R/25V C0603 C208;M1/X7R/25V C0603 C208;1;0,030;0,030;CZK;23145
1;100;M1/X7R/50V C1206 C301;M1/X7R/50V C1206 C301;1;0,120;0,120;CZK;9611
1;101;M1/X7R/50V C1206 C302;M1/X7R/50V C1206 C302;1;0,120;0,120;CZK;9611
1;102;;;1;1,870;1,870;CZK;47288
1;103;M1/X7R/50V C1206 C304;M1/X7R/50V C1206 C304;1;0,120;0,120;CZK;9611
1;104;100P/NP0/50V C1206 C305;100P/NP0/50V C1206 C305;1;0,240;0,240;CZK;11119
1;105;;;1;2,300;2,300;CZK;47289
1;106;;;1;2,300;2,300;CZK;47289
1;107;M1/X7R/50V C1206 C308;M1/X7R/50V C1206 C308;1;0,110;0,110;CZK;9611
1;108;10M/X5R/25V C1206 C309;10M/X5R/25V C1206 C309;1;0,430;0,430;CZK;39379
1;109;10M/X5R/25V C1206 C310;10M/X5R/25V C1206 C310;1;0,430;0,430;CZK;39379
1;110;1M/X5R/16V C0603 C401;1M/X5R/16V C0603 C401;1;0,090;0,090;CZK;38096
1;111;1M/X5R/16V C0603 C402;1M/X5R/16V C0603 C402;1;0,090;0,090;CZK;38096
1;112;1M/X5R/16V C0603 C403;1M/X5R/16V C0603 C403;1;0,090;0,090;CZK;38096
1;113;1M/X5R/16V C0603 C404;1M/X5R/16V C0603 C404;1;0,090;0,090;CZK;38096
1;114;1M/X5R/16V C0603 C405;1M/X5R/16V C0603 C405;1;0,090;0,090;CZK;38096
1;115;1M/X5R/16V C0603 C406;1M/X5R/16V C0603 C406;1;0,090;0,090;CZK;38096
1;116;330P/X7R/50V C0603 C408;330P/X7R/50V C0603 C408;1;0,030;0,030;CZK;47520
