Èíslo;Název zboží;Množství; Cena 
44754;DPS CONEL UCR-v2-3 (GOLD, PANEL 2x 1 Pcs);1;47,66
24580;LQ SMD LGY870-K2M1-1-Z (zelená) RoHS;2;1,12
24737;LQ SMD LYY876-Q2S1-26-Z (žlutá) RoHS;1;1,2
39970;KONEKTOR WURTH 658 853 500 340 RoHS;1;16,57
45888;MOLEX SIM SOCKET 91228-3006 (s aretaèními kolíky) RoHS;1;18,76
24580;LQ SMD LGY870-K2M1-1-Z (zelená) RoHS;1;1,12
24575;LQ SMD LSY876-P2R1-1-Z (èervená)  RoHS;1;1,14
24737;LQ SMD LYY876-Q2S1-26-Z (žlutá) RoHS;2;1,2
35675;TK SMD 0603 220N/50V 10% X7R RoHS;1;0,88
33548;TE SMD TPS 47M/6,3V 10% (B 3528)  LOW ESR RoHS;1;3,38
48360;TK SMD 1206 47M/25V 20% X5R (V PASU) RoHS;1;6,89
27068;TK SMD 0603 10N/50V 10%  X7R (V PASU) RoHS;1;0,03
21697;TK SMD 1210 2M2/50V 10% X7R (V PASU) RoHS;1;1,35
47711;TK SMD 2220 10M/50V 20% X7R (V PASU) RoHS;1;8,7
23145;TK SMD 0603 100N/50V 10% X7R (V PASU) RoHS;7;0,03
32749;TK SMD 0603 100P/50V 5% C0G/NPO (V PASU) RoHS;2;0,03
31012;TK SMD 0603 10P/50V 10%  C0G/NPO (V PASU) RoHS;1;0,03
15232;MBRS340T3G (SMD DO214AB, SMC)  40V/3A RoHS;1;1,65
48275;TLUMIVKA SUMIDA CDRH125L125NP-330MC (33u/2,93A,  SMD) RoHS;1;5,3
20536;ODPOR SMD 0603 4K7/F 0,1W (V PASU) RoHS;1;0,01
27151;ODPOR SMD 0603 6K8/F 0,1W (V PASU) RoHS;1;0,01
26759;ODPOR SMD 0603 4K3/F 0,1W (V PASU) RoHS;1;0,01
26778;ODPOR SMD 0603 10K/F 0,1W (V PASU) RoHS;2;0,01
20531;ODPOR SMD 0603 0R 0,1W (V PASU) RoHS;3;0,01
21250;ODPOR SMD 0603 2K2/F 0,1W (V PASU) RoHS;4;0,01
35514;ODPOR SMD 0603 470R/F 0,1W (V PASU) RoHS;3;0,01
40530;KONEKTOR MINI PCI EXPRESS CARD MM60-52B1-E1-R650 (JAE) RoHS;1;10,63
36033;VF KONEKTOR U.FL(m)  20279-001E-01 (I-PEX) RoHS / VF KONEKTOR U.FL-R-SMT (Hirose) RoHS;2;6,13
48353;MOLEX KONEKTOR mini PCI Express 48099-5701  RoHS;1;14,57
38292;NC7WZ126K8X (SMD US8) RoHS;2;2,32
34809;LM22670MR-ADJ (SMD PSOP-8) RoHS;1;40,04
19236;MOLEX SIM HOLDER 91236-0001 RoHS;1;3,66
