Zkratka;Nazev;Mnozstvi;Cena
DP83848IVV;DP83848IVV SINGLE PORT 10/100Mb/s ETHERNET PHYSICAL LAYER TRANCEIVER;1;21,5
NC7WZ14P6X;NC7WZ14P6X Dual Inverter with Schmitt Trigger Inputs;1;22
11FB-05ANL;11FB-05ANL 10/100BASE-T SINGLE PORT SURFACE MOUNT MAGNETICS (YDS);1;9,4
74279262;74279262 SMD EMI supresion ferite bead;1;14
47R1;47R1 4 RESISTOR ARRAY-VISHAY CRA06E;1;21,3
49R9 1%;49R9 1% 4 RESISTOR ARRAY-VISHAY CRA06E;1;9,5
75R;75R 4 RESISTOR ARRAY-VISHAY CRA06E;1;11
2K21;2K21 4 RESISTOR ARRAY-VISHAY CRA06E;1;17
27pF;27pF SMD CER.CAP.0603 50V NPO;2;15
1nF/2kV;1nF/2kV SMD CER.CAP.1206 2 kV X7R;1;16
100nF;100nF SMD CER.CAP.0603 50V X7R;11;20
2u2;2u2 SMD CER.CAP.0603 10V X7R;1;21
10uF;10uF TSA CAP.TANTAL SMD A 6,3V;1;23
47R;47R 0603 SMD RESISTOR 5%;2;15
470R;470R 0603 SMD RESISTOR 5%;1;13
1K5;1K5 0603 SMD RESISTOR 5%;1;14,5
2K2;2K2 0603 SMD RESISTOR 5%;1;18,6
4K87 1%;4K87 1% 0805 SMD RESISTOR 1%;1;16,6
DF12A-50DS-0.5V HRS;DF12A-50DS-0.5V HRS CONNECTOR BOARD TO BOARD 50PIN MALE;1;14
Q25-SMU4-30-30-LF;Q25-SMU4-30-30-LF SMU4 (HC-49 STYLE SMD) CRYSTAL JAUCH 25MHz;1;12
MDLSP1-04M-01 ;MDLSP1-04M-01  PCB SPACER H=4.0mm RICHCO PLASTIC;3;13
PCB-XC;PCB-XC PCB;1;14
