mnozstvi;nazev;cena
1;DPS 4C_v4;7
1;DIODA SMD LED bÌl· standard;37
2;DIODA SMD 1N4148;32
1;DIODA 2xSCHOTTKY SMD BAR43C;10
1;IO SMD ADCS7476AIMF;36
1;IO SMD AT45DB081D-SU;15
1;IO SMD EP4CE6E22C8N;13
1;IO SMD EPM3032ATC44-10N;8
1;IO SMD M24L216128SA-55TI;14
1;IO SMD NCP585HSN12;25
1;IO SMD TPS3705-33D;6
1;IO SMD FLASH pamÏù pozice pro n·hradu za U5 (ATMEL);6
20;KONDENZ¡TOR KERAM. SMD 100nF X7R;29
1;KONDENZ¡TOR KERAM. SMD 100pF/50V;8
8;KONDENZ¡TOR TANTAL SMD 10uF/16V;5
2;LIäTA L¡MACÕ JEDNOÿAD¡ S1G10, WR-PHD (p/n 61301011121);24
1;LIäTA L¡MACÕ DVOUÿAD¡ S2G20, WR-PHD (p/n 61302021121);29
1;OSCIL. SMD 3,2x2,5mm 32SMO(2,5V AW), SG310SEF 48.000MHz;13
2;REZISTOR SMD 0R;6
3;REZISTOR SMD 100R;37
1;REZISTOR SMD 1k;36
9;REZISTOR SMD 10k;32
2;REZISTOR SMD 33R;33
1;REZISTOR SMD 4,7k;36
3;REZISTOR SMD sÌù 4x10K 0603 10k;23
3;REZISTOR SMD sÌù 4x22K 0603 22k;14
